Iluzjonista,The Illusionist,http://www.filmweb.pl/Iluzjonista,2006,79,188713
Mroczny Rycerz powstaje,The Dark Knight Rises,http://www.filmweb.pl/film/Mroczny+Rycerz+powstaje-2012-506756,2012,78,188552
Dziewczyna z tatuażem,The Girl with the Dragon Tattoo,http://www.filmweb.pl/film/Dziewczyna+z+tatua%C5%BCem-2011-565637,2011,78,188170
WALL·E,,http://www.filmweb.pl/film/WALL%C2%B7E-2008-399328,2008,75,187719
Gwiezdne wojny: Część IV - Nowa nadzieja,Star Wars,http://www.filmweb.pl/Gwiezdne.Wojny,1977,80,187482
Chłopcy z ferajny,Goodfellas,http://www.filmweb.pl/Chlopcy.Z.Ferajny,1990,84,186246
Chłopiec w pasiastej piżamie,The Boy in the Striped Pyjamas,http://www.filmweb.pl/film/Ch%C5%82opiec+w+pasiastej+pi%C5%BCamie-2008-420136,2008,82,184682
Armageddon,,http://www.filmweb.pl/Armageddon,1998,75,186787
Armageddon,,http://www.filmweb.pl/Armageddon,1998,75,186787
Apollo 13,,http://www.filmweb.pl/film/Apollo+13-1995-1053,1995,74,186308
Jumanji,,http://www.filmweb.pl/film/Jumanji-1995-665,1995,68,184448
Symetria,,http://www.filmweb.pl/Symetria,2003,78,185268
Szybcy i wściekli,The Fast and the Furious,http://www.filmweb.pl/film/Szybcy+i+w%C5%9Bciekli-2001-30588,2001,74,184802
Jak rozpętałem drugą wojnę światową,,http://www.filmweb.pl/Jak.Rozpetalem.Druga.Wojne.Swiatowa,1969,79,184374
Labirynt fauna,El Laberinto del fauno,http://www.filmweb.pl/Labirynt.Fauna,2006,74,183467
Casino Royale,,http://www.filmweb.pl/Casino.Royale,2006,74,183363
Harry Potter i Zakon Feniksa,Harry Potter and the Order of the Phoenix,http://www.filmweb.pl/Harry.Potter.I.Zakon.Feniksa,2007,74,182258
Skarb narodów,National Treasure,http://www.filmweb.pl/Skarb.Narodow,2004,71,181002
Hancock,,http://www.filmweb.pl/Hancock,2008,70,180227
Poradnik pozytywnego myślenia,Silver Linings Playbook,http://www.filmweb.pl/film/Poradnik+pozytywnego+my%C5%9Blenia-2012-506803,2012,72,179455
Harry Potter i Komnata Tajemnic,Harry Potter and the Chamber of Secrets,http://www.filmweb.pl/Harry.Potter.I.Komnata.Tajemnic,2002,73,179724
Sami swoi,,http://www.filmweb.pl/Sami.Swoi,1967,79,179537
Avengers,The Avengers,http://www.filmweb.pl/film/Avengers-2012-371515,2012,75,177197
Indiana Jones i ostatnia krucjata,Indiana Jones and the Last Crusade,http://www.filmweb.pl/film/Indiana+Jones+i+ostatnia+krucjata-1989-1213,1989,77,179431
Joe Black,Meet Joe Black,http://www.filmweb.pl/Joe.Black,1998,77,179023
"Złap mnie, jeśli potrafisz",Catch Me If You Can,http://www.filmweb.pl/Zlap.Mnie.Jesli.Potrafisz,2002,78,178197
Czerwony smok,Red Dragon,http://www.filmweb.pl/Czerwony.Smok,2002,75,178159
Harry Potter i Insygnia Śmierci: Część I,Harry Potter and the Deathly Hallows: Part 1,http://www.filmweb.pl/film/Harry+Potter+i+Insygnia+%C5%9Amierci%3A+Cz%C4%99%C5%9B%C4%87+I-2010-396969,2010,75,176211
