Wiele hałasu o nic,Much Ado About Nothing,1993,76,7219
Mała Syrenka 2: Powrót do morza,The Little Mermaid II: Return to the Sea,2000,65,7211
Nie oglądaj się,Ne te retourne pas,2009,60,7190
Świt żywych trupów,Dawn of the Dead,1978,71,7196
Populacja: 436,Population 436,2006,60,7199
Blondynka w koszarach,Major Movie Star,2008,59,7130
Światła wielkiego miasta,City Lights,1931,82,7185
Człowiek roku,Man of the Year,2006,65,7178
Obrońca,Tom yum goong,2005,74,7168
Trzy pogrzeby Melquiadesa Estrady,The Three Burials of Melquiades Estrada,2005,74,7171
Wielki Liberace,Behind the Candelabra,2013,65,7142
Gwiezdne wrota: Dzieci Bogów,Stargate SG-1: Children of the Gods,1997,74,7158
Legenda telewizji,Anchorman: The Legend of Ron Burgundy,2004,62,7144
Sztuka latania,The Art of Flight,2011,82,7114
Rzeczpospolita babska,,1969,72,7143
Punisher,The Punisher,1989,69,7137
Odważny,The Brave,1997,71,7136
Transsiberian,,2008,65,7128
4. piętro,Planta 4ª,2003,78,7128
Snajper,Sniper,1993,71,7113
Eliza Graves,,2014,71,5998
Wściekłe pięści,Jing wu men,1972,75,7117
Wielka bitwa Asteriksa,Astérix et le coup du menhir,1989,74,7114
Żona dla zuchwałych,Dilwale Dulhania Le Jayenge,1995,77,7118
William i Kate,William & Kate,2011,53,7106
Pociągi pod specjalnym nadzorem,Ostře sledované vlaky,1966,76,7111
Słodki drań,Sweet and Lowdown,1999,71,7112
Arszenik i stare koronki,Arsenic and Old Lace,1944,80,7096
Robinson Crusoe,,1997,63,7076
W firmie,The Company Men,2010,67,7100
Moja dziewczyna 2,My Girl 2,1994,64,7101
Krzyżowy ogień,Assassination Games,2011,66,7096
Ćma barowa,Barfly,1987,74,7082
Krokodyl Dundee,Crocodile Dundee,1986,66,7088
Bierz forsę i w nogi,Take the Money and Run,1969,76,7078
Kroniki Riddicka: Mroczna furia,The Chronicles of Riddick: Dark Fury,2004,72,7077
LOL,LOL (Laughing Out Loud) ®,2008,68,7061
Joanna,,2010,71,7067
Uniwersalny żołnierz: Powrót,Universal Soldier: The Return,1999,52,7061
Star Trek VIII: Pierwszy kontakt,Star Trek: First Contact,1996,72,7066
Wszystkie psy idą do nieba 2,All Dogs Go to Heaven 2,1996,74,7065
Mokra robota,Setup,2011,51,7028
Gliniarz,The Guard,2011,67,7059
Gang Olsena,Olsen-Banden,1968,72,7054
Zaginiona Walentynka,The Lost Valentine,2011,76,7035
Uśpieni,The Quiet Ones,2014,50,7000
Oko w oko z życiem,Buffalo '66,1998,79,7032
Kinsey,,2004,70,7034
Zagadka nieśmiertelności,The Hunger,1983,72,7028
"Aguirre, gniew boży","Aguirre, der Zorn Gottes",1972,77,7033
Impostor: Test na człowieczeństwo,Impostor,2001,68,7024
Matnia,Cul-de-sac,1966,73,7021
Nakarmić kruki,Cría cuervos,1976,80,6890
Odrzucone,Rejected,2000,74,7007
Najlepsze figle Jasia Fasoli,Unseen Bean,1995,73,7024
Hotel śmierci,See No Evil,2006,56,6957
Iluzjonista,L'illusionniste,2010,75,7017
Epoka lodowcowa: Mamucia gwiazdka,Ice Age: A Mammoth Christmas,2011,67,6988
Frozen,,2010,59,7001
Drapieżnik,The Flock,2007,63,7007
Wyjęty spod prawa Josey Wales,The Outlaw Josey Wales,1976,77,6989
Jestem przy tobie,Main Hoon Na,2004,77,7000
Bandslam,,2009,65,6994
Mr. Nice,,2010,67,6949
Quiz Show,,1994,73,6994
Arachnofobia,Arachnophobia,1990,59,6958
Trzeci,,2004,68,6993
"Kobieta, która pragnęła mężczyzny",Kvinden der drømte om en mand,2010,54,6944
Gwiezdne wrota: Arka prawdy,Stargate: The Ark of Truth,2008,71,6962
Hell Ride,,2008,60,6957
Czarna księga,Zwartboek,2006,75,6940
Lawendowe wzgórze,Ladies in Lavender,2004,71,6947
Inaczej niż w raju,Stranger Than Paradise,1984,77,6937
Bumerang,Boomerang,1992,60,6934
C.R.A.Z.Y.,,2005,78,6940
Prawdziwa zbrodnia,True Crime,1999,72,6935
Rock of Ages,,2012,60,6933
Piątek trzynastego II,Friday the 13th Part 2,1981,68,6931
Majestic,The Majestic,2001,75,6926
Powrót do Brideshead,Brideshead Revisited,2008,68,6923
Droga przez piekło,U Turn,1997,74,6917
Anakondy: Polowanie na Krwawą Orchideę,Anacondas: The Hunt for the Blood Orchid,2004,52,6923
Biały Kieł,White Fang,1991,73,6917
Ocean strachu 2,Open Water 2: Adrift,2006,54,6917
Świadek,Witness,1985,72,6909
36,36 Quai des Orfèvres,2004,74,6912
